"income","percent_unemp","county"
123144,"3.1","Carver County"
120247,"3","Scott County"
114457,"3.3","Washington County"
106666,"2.1","Wright County"
105212,"3.6","Dakota County"
102965,"3.3","Sherburne County"
98764,"3.9","Anoka County"
98260,"3.9","Chisago County"
96339,"4.3","Hennepin County"
93494,"3.6","Olmsted County"
92943,"3.1","Dodge County"
90218,"4.1","Le Sueur County"
86573,"4.1","Isanti County"
83448,"3.1","Steele County"
82792,"4.6","Rice County"
82749,"3.6","Goodhue County"
81004,"4.7","Ramsey County"
80362,"1.6","Nicollet County"
80133,"2.2","Wabasha County"
80042,"4","Carlton County"
78468,"3.3","McLeod County"
77664,"3.9","Clay County"
77500,"1.5","Red Lake County"
77264,"2.7","Douglas County"
77087,"1.9","Houston County"
76447,"4.3","Stearns County"
76082,"3.9","Sibley County"
75621,"2.4","Lake County"
75225,"2.9","Fillmore County"
75097,"3.6","Kandiyohi County"
75052,"4","Waseca County"
75037,"2.6","Meeker County"
74475,"2.6","Murray County"
73611,"4.2","Roseau County"
72957,"3.1","Grant County"
72761,"3.4","Lyon County"
72623,"4.2","Blue Earth County"
72561,"2.8","Pennington County"
72205,"0.9","Pope County"
71915,"4.9","Kanabec County"
71701,"3","Marshall County"
71643,"2.4","Cook County"
71639,"1.8","Lac qui Parle County"
71573,"3.4","Yellow Medicine County"
71495,"3.7","Mower County"
71480,"4","Benton County"
71455,"4.4","Mille Lacs County"
71343,"5.2","Crow Wing County"
71117,"4","Becker County"
71060,"1.5","Stevens County"
70912,"5.1","Otter Tail County"
70698,"2.6","Rock County"
70622,"4.6","Hubbard County"
70593,"5.5","Watonwan County"
70198,"3","Winona County"
70091,"1.8","Lake of the Woods County"
69955,"2.4","Jackson County"
69833,"5.1","Norman County"
69666,"6","Pine County"
69635,"4.7","Wilkin County"
69615,"4.4","Kittson County"
69455,"4.5","St. Louis County"
69192,"4.4","Chippewa County"
69136,"3.6","Polk County"
69115,"4.2","Koochiching County"
69086,"2.5","Renville County"
69012,"3.8","Freeborn County"
68690,"2.6","Brown County"
68640,"3.5","Morrison County"
68239,"3.9","Cottonwood County"
67715,"2.7","Lincoln County"
67257,"5.1","Beltrami County"
67024,"1.9","Redwood County"
66380,"5.8","Itasca County"
66073,"3","Pipestone County"
65931,"4.9","Traverse County"
65509,"2.6","Nobles County"
65475,"3","Big Stone County"
64937,"5.9","Cass County"
64934,"7.4","Clearwater County"
64391,"3.8","Faribault County"
63039,"4.5","Todd County"
62969,"4.4","Martin County"
62601,"4","Swift County"
59498,"5.8","Aitkin County"
56882,"5.8","Wadena County"
53925,"10.2","Mahnomen County"
