County,FIPS,Value (Percent),People (Unemployed),Rank within US (of 3143 counties)
United States,00000,5.2,8759317,N/A
Minnesota,27000,3.9,122323,12 of 52
Mahnomen County,27087,10.2,227,"3,054"
Clearwater County,27029,7.4,286,"2,824"
Pine County,27115,6,829,"2,428"
Cass County,27021,5.9,831,"2,383"
Aitkin County,27001,5.8,385,"2,339"
Itasca County,27061,5.8,1184,"2,339"
Wadena County,27159,5.8,406,"2,339"
Watonwan County,27165,5.5,308,"2,198"
Crow Wing County,27035,5.2,1704,"2,015"
Beltrami County,27007,5.1,1176,"1,957"
Norman County,27107,5.1,164,"1,957"
Otter Tail County,27111,5.1,1526,"1,957"
Kanabec County,27065,4.9,387,"1,839"
Traverse County,27155,4.9,80,"1,839"
Ramsey County,27123,4.7,13802,"1,695"
Wilkin County,27167,4.7,153,"1,695"
Hubbard County,27057,4.6,463,"1,626"
Rice County,27131,4.6,1624,"1,626"
St. Louis County,27137,4.5,4560,"1,561"
Todd County,27153,4.5,540,"1,561"
Chippewa County,27023,4.4,270,"1,487"
Kittson County,27069,4.4,92,"1,487"
Martin County,27091,4.4,449,"1,487"
Mille Lacs County,27095,4.4,607,"1,487"
Hennepin County,27053,4.3,31494,"1,433"
Stearns County,27145,4.3,3778,"1,433"
Blue Earth County,27013,4.2,1664,"1,363"
Koochiching County,27071,4.2,247,"1,363"
Roseau County,27135,4.2,341,"1,363"
Isanti County,27059,4.1,930,"1,291"
Le Sueur County,27079,4.1,650,"1,291"
Becker County,27005,4,680,"1,219"
Benton County,27009,4,927,"1,219"
Carlton County,27017,4,711,"1,219"
Swift County,27151,4,188,"1,219"
Waseca County,27161,4,388,"1,219"
Anoka County,27003,3.9,7966,"1,152"
Chisago County,27025,3.9,1211,"1,152"
Clay County,27027,3.9,1395,"1,152"
Cottonwood County,27033,3.9,218,"1,152"
Sibley County,27143,3.9,312,"1,152"
Faribault County,27043,3.8,273,"1,082"
Freeborn County,27047,3.8,579,"1,082"
Mower County,27099,3.7,758,"1,027"
Dakota County,27037,3.6,8985,951
Goodhue County,27049,3.6,898,951
Kandiyohi County,27067,3.6,826,951
Olmsted County,27109,3.6,3232,951
Polk County,27119,3.6,570,951
Morrison County,27097,3.5,603,882
Lyon County,27083,3.4,443,822
Yellow Medicine County,27173,3.4,168,822
McLeod County,27085,3.3,662,755
Sherburne County,27141,3.3,1807,755
Washington County,27163,3.3,4850,755
Carver County,27019,3.1,1910,661
Dodge County,27039,3.1,355,661
Grant County,27051,3.1,95,661
Steele County,27147,3.1,597,661
Big Stone County,27011,3,70,602
Marshall County,27089,3,135,602
Pipestone County,27117,3,141,602
Scott County,27139,3,2633,602
Winona County,27169,3,865,602
Fillmore County,27045,2.9,325,544
Pennington County,27113,2.8,211,503
Douglas County,27041,2.7,547,475
Lincoln County,27081,2.7,77,475
Brown County,27015,2.6,351,438
Meeker County,27093,2.6,310,438
Murray County,27101,2.6,110,438
Nobles County,27105,2.6,275,438
Rock County,27133,2.6,133,438
Renville County,27129,2.5,180,401
Cook County,27031,2.4,73,369
Jackson County,27063,2.4,128,369
Lake County,27075,2.4,123,369
Wabasha County,27157,2.2,256,303
Wright County,27171,2.1,1717,271
Houston County,27055,1.9,185,227
Redwood County,27127,1.9,142,227
Lac qui Parle County,27073,1.8,60,207
Lake of the Woods County,27077,1.8,38,207
Nicollet County,27103,1.6,312,171
Red Lake County,27125,1.5,31,148
Stevens County,27149,1.5,79,148
Pope County,27121,0.9,52,69
